initialization done
Initialization took 210.70384899999993 milliseconds
Edge from 188 to 190
Edge from 188 to 191
Edge from 188 to 192
Edge from 189 to 190
Edge from 189 to 191
Edge from 189 to 192
Edge from 189 to 188
Edge from 190 to 191
Edge from 190 to 192
Edge from 191 to 192
Edge from 192 to 193
Edge from 193 to 231
Edge from 193 to 232
Edge from 194 to 230
Edge from 194 to 231
Edge from 194 to 232
Edge from 194 to 193
Edge from 195 to 230
Edge from 195 to 231
Edge from 195 to 232
Edge from 195 to 194
Edge from 196 to 197
Edge from 196 to 194
Edge from 196 to 195
Edge from 197 to 201
Edge from 197 to 230
Edge from 197 to 231
Edge from 197 to 232
Edge from 197 to 193
Edge from 197 to 194
Edge from 197 to 195
Edge from 198 to 199
Edge from 198 to 197
Edge from 199 to 201
Edge from 199 to 232
Edge from 199 to 193
Edge from 199 to 194
Edge from 199 to 195
Edge from 199 to 197
Edge from 200 to 201
Edge from 200 to 193
Edge from 200 to 199
Edge from 201 to 230
Edge from 201 to 231
Edge from 201 to 232
Edge from 201 to 193
Edge from 201 to 194
Edge from 201 to 195
Edge from 202 to 229
Edge from 202 to 230
Edge from 202 to 231
Edge from 202 to 232
Edge from 202 to 201
Edge from 203 to 227
Edge from 203 to 228
Edge from 203 to 229
Edge from 203 to 230
Edge from 203 to 231
Edge from 203 to 232
Edge from 203 to 202
Edge from 204 to 226
Edge from 204 to 227
Edge from 204 to 228
Edge from 204 to 229
Edge from 204 to 230
Edge from 204 to 231
Edge from 204 to 232
Edge from 204 to 203
Edge from 205 to 226
Edge from 205 to 204
Edge from 206 to 225
Edge from 206 to 226
Edge from 206 to 227
Edge from 206 to 228
Edge from 206 to 229
Edge from 206 to 230
Edge from 206 to 231
Edge from 206 to 232
Edge from 206 to 203
Edge from 206 to 204
Edge from 206 to 205
Edge from 207 to 225
Edge from 207 to 226
Edge from 207 to 227
Edge from 207 to 228
Edge from 207 to 229
Edge from 207 to 230
Edge from 207 to 231
Edge from 207 to 232
Edge from 207 to 203
Edge from 207 to 206
Edge from 208 to 223
Edge from 208 to 224
Edge from 208 to 225
Edge from 208 to 226
Edge from 208 to 227
Edge from 208 to 228
Edge from 208 to 229
Edge from 208 to 230
Edge from 208 to 231
Edge from 208 to 232
Edge from 208 to 207
Edge from 209 to 223
Edge from 209 to 224
Edge from 209 to 225
Edge from 209 to 226
Edge from 209 to 227
Edge from 209 to 228
Edge from 209 to 229
Edge from 209 to 230
Edge from 209 to 231
Edge from 209 to 232
Edge from 209 to 203
Edge from 209 to 204
Edge from 209 to 206
Edge from 209 to 207
Edge from 209 to 208
Edge from 210 to 222
Edge from 210 to 223
Edge from 210 to 224
Edge from 210 to 225
Edge from 210 to 226
Edge from 210 to 227
Edge from 210 to 228
Edge from 210 to 229
Edge from 210 to 230
Edge from 210 to 231
Edge from 210 to 232
Edge from 210 to 202
Edge from 210 to 203
Edge from 210 to 204
Edge from 210 to 206
Edge from 210 to 207
